x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
8,6,3,5,88.2,28.2,96.3,6.1,9.2,53,7.2,0,0
8,5,10,2,92.6,37.4,671.1,7.7,19,35,1.4,0,0
8,5,10,6,92.6,45.7,688.9,7.7,15.6,35,1.8,0,0
9,7,3,5,93.7,35.3,79.5,10,9.3,99,4.5,0.2,0
9,7,3,7,91.3,53.3,104.2,10.6,12.4,101,2.3,0,0
9,7,8,7,94.3,87.3,490,15.7,23.2,31,5.9,0,0
9,7,8,1,94.3,90.9,497.6,9.5,25.1,29,3.6,0,0
9,7,8,1,93.5,147.4,610.2,11.7,9,88,2.7,0,0
9,7,9,2,93,131.5,694.6,8,14.1,65,5.9,0,0
8,6,9,6,94.5,90,700.6,8.1,18.8,53,7.7,0,0
8,6,9,6,94.8,75.2,715,23.6,20.3,40,4.5,0,0
7,6,8,5,65.5,72.8,667.3,1.8,18,74,7.2,0,0
7,6,9,1,92.9,128.5,688.5,8,22.3,44,2.7,0,0
7,6,9,5,95.3,143.2,715.9,14.9,23.9,46,5.9,0,0
6,6,3,6,93.7,37.8,82.8,8.8,16.1,29,5.9,0,0
9,6,10,1,86.9,34.8,666.2,4,17.7,49,5.4,0,0
7,5,3,3,91.2,29.9,72.8,7.3,16.9,37,4.5,0,0
7,5,4,6,88.3,29.4,99.1,6.1,10.3,46,5,0,0
7,5,9,2,93,131.5,694.6,8,19.3,42,3.2,0,0
6,5,9,1,93.8,80.5,726.3,10.2,20.1,40,3.2,0,0
8,5,6,7,96.3,98.3,202,57.1,22,46,5,0,0
8,5,8,6,92.2,112.9,539.4,7.2,20.5,45,6.3,0,0
8,5,8,6,95.5,141.4,596.2,21.3,24.7,34,6.3,0,0
8,5,8,7,93.4,144.4,603.4,11.6,17.3,62,5.9,0,0
8,5,9,5,94.4,119.9,670,13.2,20,36,6.3,0,0
8,5,9,1,92.9,128.5,688.5,8,20.4,50,1.8,0,0
7,4,9,6,95.4,147.4,723.4,9.1,31.2,26,3.2,0,0
7,4,9,7,95.5,151.3,730.6,9.1,23.8,41,4.1,0,0
7,4,9,5,96.3,87.1,694.3,16.9,26.4,26,4.1,0,0
7,4,9,1,90.6,93.8,711.9,8.1,12.2,80,8.1,0,0
7,4,9,5,90.6,71.7,708.8,6.8,21.6,39,2.3,0,0
7,4,9,7,93.7,77.6,720.3,8.8,18.7,41,4.1,0,0
7,4,9,1,93.8,80.5,726.3,10.2,22.2,34,3.2,0,0
7,4,9,2,92.3,82.7,732.2,7.3,19.2,64,5,0,0
7,4,10,2,92.6,37.4,671.1,7.7,22.7,26,5,0,0
8,5,10,5,92,43.5,684.6,9.7,12.3,62,5.9,0,0
8,4,10,6,92.6,45.7,688.9,7.7,18.8,29,4.5,0,0
5,5,3,2,90.1,27.7,69.6,4.8,15.1,45,3.2,0,0
5,5,7,2,81.5,62.6,368.7,2.5,24.3,39,3.6,0,0
5,5,8,6,92.2,98.9,626.2,9.9,19.4,44,7.2,0,0
5,5,8,2,96.8,110.3,649.1,18,17.6,56,5.9,0,0
5,5,9,6,94.5,90,700.6,8.1,20.6,50,3.2,0,0
6,7,9,3,96.3,87.1,694.3,16.9,26.9,26,4.5,0,0
6,7,9,1,92.9,128.5,688.5,8,15.7,72,4.1,0,0
7,7,7,1,96.2,64.3,444.9,12,24,38,3.6,0,0
5,5,3,1,89.2,25.9,66.7,5.1,12.8,37,2.3,0,0
5,5,3,1,89.6,54.2,105.8,6,12,48,6.3,0,0
5,5,9,4,94.9,139,708.4,10.2,21.8,19,1.8,0,0
5,4,8,7,92.2,101.6,633.2,7.3,22.5,36,2.7,0,0
5,4,8,3,94.1,113.2,656.1,10.6,21.4,44,5.4,0,0
5,4,8,3,94.1,113.2,656.1,10.6,21.4,44,5.4,0,0
5,4,8,4,93.7,116.3,663.3,7.3,18.6,47,4.1,0,0
5,4,9,4,94.9,139,708.4,10.2,28.7,26,2.7,0,0
5,4,9,2,92.3,82.7,732.2,7.3,18.8,65,5.4,0,0
5,4,10,7,94.6,48.5,693.8,9.8,14.8,52,3.2,0,0
3,3,2,1,86,11.3,36,3.1,14.9,42,5.9,0,0
3,3,2,5,88.6,15.2,45,6.3,13.3,53,1.4,0,0
3,3,3,7,91.3,53.3,104.2,10.6,12.5,41,6.3,0,0
3,3,3,7,91.3,53.3,104.2,10.6,6.5,61,6.8,0,0
3,3,8,4,95,77.3,468.6,8.7,19.8,37,5.4,0,0
3,3,8,7,92.2,101.6,633.2,7.3,21.8,35,3.2,0,0
3,3,8,1,93.1,105.2,640.8,6.8,24.1,33,3.6,0,0
